Accession,Protein_Name,Gene_symbol,Protein_Type,Sperm_Location,Caput,NC_Cauda,CORE,NegLog10_p_value,FC
O09131,Glutathione S-transferase omega-1,Gsto1,Enzyme,,Yes,,,,
O09159,Lysosomal alpha-mannosidase,Man2b1,Enzyme,,Yes,Yes,Yes,4.469,-1.362
O09160,"Galactoside alpha-(1,2)-fucosyltransferase 1",Fut1,Enzyme,,Yes,,,,
O09167,60S ribosomal protein L21,Rpl21,,,Yes,Yes,Yes,5.787,-1.405
O09172,Glutamate--cysteine ligase regulatory subunit,Gclm,Enzyme,,Yes,Yes,Yes,0.032,0.003
O09174,Alpha-methylacyl-CoA racemase,Amacr,Enzyme,,Yes,Yes,Yes,4.443,-1.429
O35054,Claudin-4,Cldn4,Transmembrane receptor,,Yes,,,,
O35071,Kinesin-like protein KIF1C,Kif1c,,,Yes,,,,
O35074,Prostacyclin synthase,Ptgis,Enzyme,Nucleus,Yes,,,,
O35075,Vacuolar protein sorting-associated protein 26C,Vps26c,,,Yes,,,,
O35083,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,Agpat1,Enzyme,,Yes,Yes,Yes,2.751,-0.594
O35099,Mitogen-activated protein kinase kinase kinase 5,Map3k5,Kinase,,Yes,,,,
O35114,Lysosome membrane protein 2,Scarb2,Transmembrane receptor,,Yes,,,,
O35125,Leucine-rich repeat-containing protein 23,Lrrc23,,,Yes,Yes,Yes,2.013,0.4
O35126,Atrophin-1,Atn1,Transcription regulator,Nucleus,Yes,,,,
O35127,Protein C10,Grcc10,,,Yes,,,,
O35129,Prohibitin-2,Phb2,Transcription regulator,Nucleus; Mitochondria,Yes,Yes,Yes,1.786,-0.266
O35130,Ribosomal RNA small subunit methyltransferase NEP1,Emg1,Enzyme,Nucleus,Yes,,,,
O35134,DNA-directed RNA polymerase I subunit RPA1,Polr1a,Enzyme,Nucleus,Yes,,,,
O35143,"ATPase inhibitor, mitochondrial",ATP5IF1,,,Yes,Yes,Yes,0.505,0.27
O35144,Telomeric repeat-binding factor 2,Terf2,Transcription regulator,Nucleus,Yes,,,,
O35153,BET1-like protein,Bet1l,Transporter,,Yes,Yes,Yes,2.832,-1.084
O35166,Golgi SNAP receptor complex member 2,Gosr2,Transporter,,Yes,Yes,Yes,2.866,-1.007
O35185,Class E basic helix-loop-helix protein 40,Bhlhe40,Transcription regulator,Nucleus,Yes,,,,
O35206,Collagen alpha-1(XV) chain,Col15a1,,,Yes,,,,
O35207,Cyclin-dependent kinase 2-associated protein 1,Cdk2ap1,,Nucleus,Yes,,,,
O35215,D-dopachrome decarboxylase,Ddt,Enzyme,,Yes,Yes,Yes,2.496,0.512
O35216,Histone H3-like centromeric protein A ,Cenpa,,Nucleus,,,,,
O35218,Cleavage and polyadenylation specificity factor subunit 2,Cpsf2,,Nucleus,Yes,,,,
O35226-2,Isoform Rpn10B of 26S proteasome non-ATPase regulatory subunit 4,Psmd4,,Nucleus,Yes,Yes,Yes,0.264,0.029
O35227,Disintegrin and metalloproteinase domain-containing protein 7,Adam7,Peptidase,,Yes,Yes,Yes,6.401,-2.954
O35239,Tyrosine-protein phosphatase non-receptor type 9,Ptpn9,Phosphatase,,Yes,Yes,Yes,3.706,0.67
O35250,Exocyst complex component 7,Exoc7,Transporter,,Yes,,,,
O35286,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,Dhx15,Enzyme,Nucleus,Yes,Yes,Yes,5.318,-2.391
O35295,Transcriptional activator protein Pur-beta,Purb,Transcription regulator,Nucleus,Yes,,,,
O35309,N-myc-interactor,Nmi,Transcription regulator,Nucleus,Yes,,,,
O35316,Sodium- and chloride-dependent taurine transporter,Slc6a6,Transporter,,,Yes,,,
O35326,Serine/arginine-rich splicing factor 5,Srsf5,,Nucleus,Yes,Yes,Yes,3.943,-1.642
O35343,Importin subunit alpha-3,Kpna4,Transporter,Nucleus,Yes,Yes,Yes,2.581,-0.753
O35344,Importin subunit alpha-4,Kpna3,Transporter,Nucleus,Yes,Yes,Yes,3.482,-1.306
O35345,Importin subunit alpha-7,Kpna6,Transporter,Nucleus,Yes,Yes,Yes,4.875,-1.514
O35350,Calpain-1 catalytic subunit,Capn1,Peptidase,,Yes,,,,
O35379,Multidrug resistance-associated protein 1,Abcc1,Transporter,,Yes,,,,
O35381,Acidic leucine-rich nuclear phosphoprotein 32 family member A,Anp32a,,Nucleus,Yes,Yes,Yes,3.997,-2.071
O35382,Exocyst complex component 4,Exoc4,Transporter,,Yes,,,,
O35386,"Phytanoyl-CoA dioxygenase, peroxisomal",Phyh,Enzyme,,Yes,Yes,Yes,2.33,-0.848
O35387,HCLS1-associated protein X-1,Hax1,,Nucleus; Mitochondria,Yes,Yes,Yes,0.054,0.03
O35400,Sulfotransferase 2B1,Sult2b1,Enzyme,Nucleus,Yes,,,,
O35405,5'-3' exonuclease PLD3,Pld3,Enzyme,,Yes,,,,
O35409,Glutamate carboxypeptidase 2,Folh1,Peptidase,,Yes,,,,
O35435,"Dihydroorotate dehydrogenase (quinone), mitochondrial",Dhodh,Enzyme,Mitochondria,Yes,Yes,Yes,4.734,-1.135
O35448,Lysosomal thioesterase PPT2,Ppt2,Enzyme,,Yes,,,,
O35450,FK506-binding protein-like,Fkbpl,,,Yes,Yes,Yes,0.073,-0.047
O35459,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",Ech1,Enzyme,,Yes,Yes,Yes,3.909,-1.133
O35465,Peptidyl-prolyl cis-trans isomerase FKBP8,Fkbp8,,Mitochondria,Yes,,,,
O35488,Very long-chain acyl-CoA synthetase,Slc27a2,Transporter,,Yes,,,,
O35492,Dual specificity protein kinase CLK3,Clk3,Kinase,Acrosome; Nucleus,Yes,,,,
O35493,Dual specificity protein kinase CLK4,Clk4,Kinase,Nucleus,Yes,Yes,Yes,0.305,-0.1
O35551,Rab GTPase-binding effector protein 1,Rabep1,Transporter,,Yes,Yes,Yes,1.687,-0.834
O35566,CD151 antigen,Cd151,,,Yes,Yes,Yes,2.641,-0.915
O35593,26S proteasome non-ATPase regulatory subunit 14,Psmd14,Peptidase,,Yes,Yes,Yes,1.171,0.148
O35594,Intraflagellar transport protein 81 homolog,Ift81,,Mid-piece,Yes,,,,
O35598,Disintegrin and metalloproteinase domain-containing protein 10,Adam10,Peptidase,Nucleus,Yes,,,,
O35601,FYN-binding protein 1,Fyb1,,Nucleus,Yes,,,,
O35604,NPC intracellular cholesterol transporter 1,Npc1,Transporter,,Yes,,,,
O35607,Bone morphogenetic protein receptor type-2,Bmpr2,Kinase,,Yes,,,,
O35609,Secretory carrier-associated membrane protein 3,Scamp3,Transporter,,Yes,Yes,Yes,2.076,-1.362
O35623,BET1 homolog,Bet1,Transporter,,Yes,,,,
O35638,Cohesin subunit SA-2,Stag2,,Nucleus,Yes,,,,
O35639,Annexin A3,Anxa3,Enzyme,,Yes,,,,
O35640,Annexin A8,Anxa8,,,Yes,,,,
O35643,AP-1 complex subunit beta-1,Ap1b1,,,Yes,Yes,Yes,3.676,-0.915
O35648,Centrin-3,Cetn3,,Nucleus,Yes,,,,
O35654,DNA polymerase delta subunit 2,Pold2,Enzyme,Nucleus,Yes,,,,
O35655,Serine/threonine-protein phosphatase with EF-hands 1,Ppef1,Phosphatase,Nucleus,Yes,Yes,Yes,3.343,0.727
O35657,Sialidase-1,Neu1,Enzyme,,Yes,,,,
O35658,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1qbp,Transcription regulator,Nucleus; Mitochondria,Yes,Yes,Yes,1.544,-0.305
O35660,Glutathione S-transferase Mu 6,Gstm6,Enzyme,,Yes,Yes,Yes,3.874,-2.058
O35678,Monoglyceride lipase,Mgll,Enzyme,,Yes,Yes,Yes,4.15,0.678
O35680,"28S ribosomal protein S12, mitochondrial",Mrps12,,Mitochondria,Yes,,,,
O35683,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 ,Ndufa1,,Mitochondria,,,,,
O35685,Nuclear migration protein nudC,Nudc,,Nucleus,Yes,Yes,Yes,5.184,-0.862
O35691,Pinin,Pnn,,Nucleus,Yes,,,,
O35704,Serine palmitoyltransferase 1,Sptlc1,Enzyme,,Yes,,,,
O35711,Liprin-beta-2,Ppfibp2,Phosphatase,,Yes,,,,
O35723,DnaJ homolog subfamily B member 3,Dnajb3,,,,Yes,,,
O35730,E3 ubiquitin-protein ligase RING1,Ring1,Transcription regulator,Nucleus,Yes,,,,
O35737,Heterogeneous nuclear ribonucleoprotein H,Hnrnph1,,Nucleus,Yes,Yes,Yes,5.011,-1.809
O35841,Apoptosis inhibitor 5,Api5,,Nucleus,Yes,,,,
O35855,"Branched-chain-amino-acid aminotransferase, mitochondrial",Bcat2,Enzyme,Nucleus,Yes,Yes,Yes,4.172,-2.479
O35857,Mitochondrial import inner membrane translocase subunit TIM44,Timm44,Transporter,Mitochondria,Yes,Yes,Yes,0.961,-0.102
O35864,COP9 signalosome complex subunit 5,Cops5,Transcription regulator,Nucleus,Yes,Yes,Yes,3.491,-0.731
O35887,Calumenin,Calu,,,Yes,Yes,Yes,3.73,-1.503
O35892,Nuclear autoantigen Sp-100,Sp100,Transcription regulator,Nucleus,Yes,,,,
O35900,U6 snRNA-associated Sm-like protein LSm2,Lsm2,,Nucleus,Yes,Yes,Yes,3.37,-1.705
O35929,GTP-binding protein REM 1,Rem1,Enzyme,,Yes,,,,
O35943,"Frataxin, mitochondrial",Fxn,Kinase,Mitochondria,Yes,Yes,Yes,1.397,0.249
O35945,"Aldehyde dehydrogenase, cytosolic 1",Aldh1a7,Enzyme,,Yes,,,,
O35955,Proteasome subunit beta type-10,Psmb10,Peptidase,Nucleus,Yes,,,,
O35963,Ras-related protein Rab-33B,Rab33b,Enzyme,,Yes,,,,
O35969,Guanidinoacetate N-methyltransferase,Gamt,Enzyme,Nucleus,Yes,,,,
O35972,"39S ribosomal protein L23, mitochondrial",Mrpl23,,Mitochondria,Yes,,,,
O54692,Centromere/kinetochore protein zw10 homolog,Zw10,,Nucleus,Yes,Yes,Yes,4.395,-1.596
O54724,Caveolae-associated protein 1,Cavin1,Transcription regulator,Nucleus,Yes,,,,
O54734,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,Ddost,Enzyme,,Yes,Yes,Yes,4.961,-1.573
O54750,Cytochrome P450 2J6,Cyp2j6,Enzyme,,Yes,,,,
O54774,AP-3 complex subunit delta-1,Ap3d1,,,Yes,Yes,Yes,2.682,-1.687
O54781,SRSF protein kinase 2,Srpk2,Kinase,Nucleus,Yes,Yes,Yes,2.174,0.227
O54782,Epididymis-specific alpha-mannosidase,Man2b2,Enzyme,,Yes,Yes,Yes,2.087,0.214
O54794,Aquaporin-7,Aqp7,Transporter,,Yes,Yes,Yes,1.781,0.586
O54818,Tumor protein D53,Tpd52l1,,,Yes,,,,
O54825,Bystin,Bysl,,Nucleus,Yes,,,,
O54826,Protein AF-10,Mllt10,Transcription regulator,Nucleus,Yes,,,,
O54833,Casein kinase II subunit alpha',Csnk2a2,Kinase,Nucleus,Yes,Yes,Yes,2.246,0.343
O54863,Testis-specific serine/threonine-protein kinase 2,Tssk2,Kinase,Acrosome; Nucleus,Yes,Yes,Yes,0.564,0.103
O54879,High mobility group protein B3,Hmgb3,,Nucleus,Yes,,,,
O54887,Testis-specific serine kinase substrate,Tsks,Kinase,Acrosome,,Yes,,,
O54909,Retinol dehydrogenase 16,Rdh16,Enzyme,,Yes,,,,
O54916,RalBP1-associated Eps domain-containing protein 1,Reps1,,,Yes,,,,
O54918,Bcl-2-like protein 11,Bcl2l11,,,Yes,Yes,Yes,1.196,0.428
O54931,A-kinase anchor protein 2,Akap2,,,Yes,,,,
O54941,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,Smarce1,Transcription regulator,Nucleus,Yes,,,,
O54946,DnaJ homolog subfamily B member 6,Dnajb6,Transcription regulator,Nucleus,Yes,Yes,Yes,1.166,0.228
O54950,5'-AMP-activated protein kinase subunit gamma-1,Prkag1,Kinase,Nucleus,Yes,Yes,Yes,4.467,-1.73
O54962,Barrier-to-autointegration factor,Banf1,,Nucleus,Yes,Yes,Yes,2.356,-0.692
O54965,E3 ubiquitin-protein ligase RNF13,Rnf13,Enzyme,Nucleus,Yes,,,,
O54982,Potassium channel subfamily U member 1,Kcnu1,Ion channel,,Yes,Yes,Yes,1.002,0.658
O54984,ATPase GET3,Get3,Transporter,Nucleus,Yes,Yes,Yes,3.354,-0.855
O54988,STE20-like serine/threonine-protein kinase,Slk,Kinase,,Yes,,,,
O54990,Prominin-1,Prom1,,,Yes,Yes,Yes,4.044,-0.237
O55013,Trafficking protein particle complex subunit 3,Trappc3,,,Yes,Yes,Yes,3.218,-0.427
O55022,Membrane-associated progesterone receptor component 1,Pgrmc1,Transmembrane receptor,Mitochondria,Yes,Yes,Yes,2.47,-0.656
O55023,Inositol monophosphatase 1,Impa1,Phosphatase,,Yes,Yes,Yes,1.534,0.251
O55026,Ectonucleoside triphosphate diphosphohydrolase 2,Entpd2,Enzyme,,Yes,,,,
O55028,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial",Bckdk,Kinase,Mitochondria,Yes,,,,
O55029,Coatomer subunit beta',Copb2,Transporter,,Yes,Yes,Yes,4.887,-2.131
O55033,Cytoplasmic protein NCK2,Nck2,Kinase,,Yes,,,,
O55057,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",Pde6d,Enzyme,,Yes,Yes,Yes,1.325,0.288
O55060,Thiopurine S-methyltransferase,Tpmt,Enzyme,,Yes,,,,
O55082,Tyrosine-protein phosphatase non-receptor type 20,Ptpn20,Phosphatase,Nucleus,,Yes,,,
O55091,Protein IMPACT,Impact,,,Yes,,,,
O55102,Biogenesis of lysosome-related organelles complex 1 subunit 1,Bloc1s1,,Mitochondria,Yes,,,,
O55106,Striatin,Strn,,,Yes,,,,
O55111,Desmoglein-2,Dsg2,,,Yes,,,,
O55125,Protein NipSnap homolog 1,Nipsnap1,Enzyme,Mitochondria,Yes,Yes,Yes,1.237,-0.976
O55126,Protein NipSnap homolog 2,Nipsnap2,,Mitochondria,Yes,Yes,Yes,0.142,-0.09
O55128,Histone deacetylase complex subunit SAP18,Sap18,Transcription regulator,Nucleus,Yes,Yes,Yes,4.98,-2.106
O55131,Septin-7,Septin7,,Nucleus; Annulus; Axoneme; Flagellum,Yes,Yes,Yes,1.56,0.107
O55135,Eukaryotic translation initiation factor 6,Eif6,Translation regulator,Nucleus,Yes,Yes,Yes,1.757,-0.252
O55137,Acyl-coenzyme A thioesterase 1,Acot1,Enzyme,,Yes,,,,
O55142,60S ribosomal protein L35a,Rpl35a,,,Yes,Yes,Yes,5.618,-1.696
O55143,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,Atp2a2,Transporter,,Yes,Yes,Yes,5.238,-1.676
O55183,Stanniocalcin-1,Stc1,Kinase,Nucleus,,Yes,,,
O55186,CD59A glycoprotein,Cd59a,,,,Yes,,,
O55187,E3 SUMO-protein ligase CBX4,Cbx4,Transcription regulator,Nucleus,Yes,,,,
O55201,Transcription elongation factor SPT5,Supt5h,Transcription regulator,Nucleus,Yes,,,,
O55222,Integrin-linked protein kinase,Ilk,Kinase,,Yes,,,,
O55229,Choline/ethanolamine kinase,Chkb,Kinase,,Yes,Yes,Yes,0.45,-0.17
O55234,Proteasome subunit beta type-5,Psmb5,Peptidase,Nucleus,Yes,Yes,Yes,4.95,0.22
O55236,mRNA-capping enzyme,Rngtt,Phosphatase,Nucleus,Yes,,,,
O55242,Sigma non-opioid intracellular receptor 1,Sigmar1,Transmembrane receptor,Nucleus,Yes,Yes,Yes,1.64,-0.621
O70133,ATP-dependent RNA helicase A,Dhx9,Enzyme,Nucleus,,Yes,,,
O70133-2,Isoform 2 of ATP-dependent RNA helicase A,Dhx9,Enzyme,Nucleus,Yes,,,,
O70145,Neutrophil cytosol factor 2,Ncf2,Enzyme,,Yes,,,,
O70152,Dolichol-phosphate mannosyltransferase subunit 1,Dpm1,Enzyme,,Yes,Yes,Yes,4.205,-1.272
O70169,Inactive serine protease 39,Prss39,Peptidase,Acrosome,Yes,Yes,Yes,1.65,0.465
O70194,Eukaryotic translation initiation factor 3 subunit D,Eif3d,,,Yes,Yes,Yes,4.502,-1.487
O70200,Allograft inflammatory factor 1,Aif1,,Nucleus,Yes,Yes,Yes,0.021,-0.018
O70228,Probable phospholipid-transporting ATPase IIA,Atp9a,Transporter,,Yes,,,,
O70230,Zinc finger protein 143,Znf143,Transcription regulator,Nucleus,Yes,,,,
O70250,Phosphoglycerate mutase 2,Pgam2,Phosphatase,Nucleus,Yes,Yes,Yes,1.931,0.369
O70251,Elongation factor 1-beta,Eef1b,Translation regulator,,Yes,Yes,Yes,4.098,-1.133
O70252,Heme oxygenase 2,Hmox2,Enzyme,,Yes,Yes,Yes,3.522,-0.245
O70273,ETS homologous factor,Ehf,Transcription regulator,Nucleus,Yes,,,,
O70274,Protein tyrosine phosphatase type IVA 2,Ptp4a2,Phosphatase,Nucleus,Yes,,,,
O70291,G protein-coupled receptor kinase 4,Grk4,Kinase,,Yes,Yes,Yes,0.109,-0.086
O70305,Ataxin-2,Atxn2,,,Yes,,,,
O70309,Integrin beta-5,Itgb5,,,Yes,,,,
O70310,Glycylpeptide N-tetradecanoyltransferase 1,Nmt1,Enzyme,,Yes,,,,
O70318,Band 4.1-like protein 2,Epb41l2,,,Yes,,,,
O70325-3,Isoform Nuclear of Phospholipid hydroperoxide glutathione peroxidase,Gpx4,,Nucleus; Mitochondria,Yes,Yes,Yes,0.307,-0.033
O70362,Phosphatidylinositol-glycan-specific phospholipase D,Gpld1,Enzyme,,Yes,,,,
O70370,Cathepsin S,Ctss,Peptidase,,Yes,,,,
O70378,ER membrane protein complex subunit 8,Emc8,,,Yes,Yes,Yes,4.679,-1.07
O70400,PDZ and LIM domain protein 1,Pdlim1,Transcription regulator,,Yes,,,,
O70401,Tetraspanin-6,Tspan6,,,Yes,Yes,Yes,1.484,-0.569
O70404,Vesicle-associated membrane protein 8,Vamp8,Transporter,,Yes,Yes,Yes,3.664,-0.837
O70422,General transcription factor IIH subunit 4,Gtf2h4,Transcription regulator,Nucleus,Yes,,,,
O70423,Membrane primary amine oxidase,Aoc3,Enzyme,,Yes,,,,
O70435,Proteasome subunit alpha type-3,Psma3,Peptidase,Nucleus,Yes,Yes,Yes,0.023,-0.004
O70439,Syntaxin-7,Stx7,Transporter,,Yes,Yes,Yes,3.335,-1.212
O70451,Monocarboxylate transporter 2,Slc16a7,Transporter,,Yes,Yes,Yes,1.604,0.275
O70456,14-3-3 protein sigma,Sfn,,Nucleus,Yes,,,,
O70477,Homeobox protein PKNOX1,Pknox1,Transcription regulator,Nucleus,Yes,,,,
O70480,Vesicle-associated membrane protein 4,Vamp4,,,Yes,Yes,Yes,0.633,-0.229
O70481,E3 ubiquitin-protein ligase UBR1,Ubr1,Enzyme,,Yes,,,,
O70492,Sorting nexin-3,Snx3,Transporter,,Yes,Yes,Yes,5.548,-1.781
O70493,Sorting nexin-12,Snx12,Transporter,,Yes,,,,
O70494,Transcription factor Sp3,Sp3,Transcription regulator,Nucleus,Yes,,,,
O70496,H(+)/Cl(-) exchange transporter 7,Clcn7,Ion channel,,Yes,,,,
O70503,Very-long-chain 3-oxoacyl-CoA reductase,Hsd17b12,Enzyme,,Yes,Yes,Yes,3.421,-0.804
O70546,Lysine-specific demethylase 6A,Kdm6a,Enzyme,Nucleus,Yes,,,,
O70551,SRSF protein kinase 1,Srpk1,Kinase,Nucleus,Yes,Yes,Yes,1.25,-0.28
O70566,Protein diaphanous homolog 2,Diaph2,,,Yes,,,,
O70572,Sphingomyelin phosphodiesterase 2,Smpd2,Enzyme,,Yes,,,,
O70579,Peroxisomal membrane protein PMP34,Slc25a17,Transporter,,Yes,,,,
O70585,Dystrobrevin beta,Dtnb,,Nucleus,Yes,,,,
O70591,Prefoldin subunit 2,Pfdn2,,Nucleus,Yes,Yes,Yes,3.202,-1.235
O88174,Membrane cofactor protein,Cd46,Transmembrane receptor,Acrosome,Yes,Yes,Yes,0.888,0.134
O88196,E3 ubiquitin-protein ligase TTC3,Ttc3,Enzyme,Nucleus,Yes,,,,
O88271,Craniofacial development protein 1,Cfdp1,,,Yes,,,,
O88286,Protein Wiz,Wiz,Transcription regulator,Nucleus,Yes,,,,
O88291,DBIRD complex subunit ZNF326,Znf326,Transcription regulator,Nucleus,Yes,,,,
O88312,Anterior gradient protein 2 homolog,Agr2,,,Yes,,,,
O88322,Nidogen-2,Nid2,,,Yes,,,,
O88338,Cadherin-16,Cdh16,Enzyme,,Yes,,,,
O88342,WD repeat-containing protein 1,Wdr1,,,Yes,Yes,Yes,5.143,-1.506
O88343,Electrogenic sodium bicarbonate cotransporter 1,Slc4a4,Transporter,,Yes,,,,
O88351,Inhibitor of nuclear factor kappa-B kinase subunit beta,Ikbkb,Kinase,Nucleus,Yes,,,,
O88379,Bromodomain adjacent to zinc finger domain protein 1A,Baz1a,,Nucleus,Yes,,,,
O88384,Vesicle transport through interaction with t-SNAREs homolog 1B,Vti1b,Transporter,,Yes,,,,
O88441,Metaxin-2,Mtx2,Transporter,,Yes,Yes,Yes,0.638,0.101
O88447,Kinesin light chain 1,Klc1,,,Yes,,,,
O88448,Kinesin light chain 2,Klc2,,,Yes,,,,
O88455,7-dehydrocholesterol reductase,Dhcr7,Enzyme,,Yes,,,,
O88456,Calpain small subunit 1,Capns1,Peptidase,,Yes,Yes,Yes,2.259,-0.382
O88487,Cytoplasmic dynein 1 intermediate chain 2,Dync1i2,,,Yes,,,,
O88491,"Histone-lysine N-methyltransferase, H3 lysine-36 specific",Nsd1,Transcription regulator,Nucleus,Yes,,,,
O88502,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",Pde8a,Enzyme,,Yes,Yes,Yes,4.617,0.718
O88507,Ciliary neurotrophic factor receptor subunit alpha,Cntfr,Transmembrane receptor,,Yes,,,,
O88512,AP-1 complex subunit gamma-like 2,Ap1g2,Transporter,,Yes,,,,
O88522,NF-kappa-B essential modulator,Ikbkg,Kinase,Nucleus,Yes,,,,
O88531,Palmitoyl-protein thioesterase 1,Ppt1,Enzyme,Nucleus,Yes,Yes,Yes,5.453,-1.479
O88532,Zinc finger RNA-binding protein,Zfr,,Nucleus,Yes,,,,
O88543,COP9 signalosome complex subunit 3,Cops3,,Nucleus,Yes,Yes,Yes,1.166,-0.228
O88544,COP9 signalosome complex subunit 4,Cops4,Peptidase,Nucleus,Yes,Yes,Yes,2.405,-0.116
O88545,COP9 signalosome complex subunit 6,Cops6,,Nucleus,Yes,Yes,Yes,3.165,-0.326
O88551,Claudin-1,Cldn1,,,Yes,,,,
O88552,Claudin-2,Cldn2,,,Yes,,,,
O88554,Poly [ADP-ribose] polymerase 2,Parp2,Enzyme,Nucleus,Yes,,,,
O88559,Menin,Men1,Transcription regulator,Nucleus,Yes,,,,
O88569,Heterogeneous nuclear ribonucleoproteins A2/B1,Hnrnpa2b1,,Nucleus,Yes,Yes,Yes,5.324,-1.78
O88587,Catechol O-methyltransferase,Comt,Enzyme,,Yes,Yes,Yes,1.473,-0.194
O88597,Beclin-1,Becn1,,Nucleus; Mitochondria,Yes,,,,
O88623,Ubiquitin carboxyl-terminal hydrolase 2,Usp2,Peptidase,Nucleus,Yes,Yes,Yes,3.49,0.832
O88630,Golgi SNAP receptor complex member 1,Gosr1,Transporter,,Yes,,,,
O88653,Ragulator complex protein LAMTOR3,Lamtor3,,,Yes,,,,
O88665,Bromodomain-containing protein 7,Brd7,Transcription regulator,Nucleus,Yes,,,,
O88668,Protein CREG1,Creg1,Transcription regulator,,Yes,,,,
O88673,Diacylglycerol kinase alpha,Dgka,Kinase,,Yes,Yes,Yes,2.377,0.647
O88685,26S proteasome regulatory subunit 6A,Psmc3,Enzyme,Nucleus,Yes,Yes,Yes,0.254,-0.018
O88696,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",Clpp,Peptidase,Mitochondria,Yes,Yes,Yes,2.903,-0.138
O88708,Origin recognition complex subunit 4,Orc4,,Nucleus,Yes,,,,
O88712,C-terminal-binding protein 1,Ctbp1,Enzyme,Nucleus,Yes,Yes,Yes,4.523,-1.621
O88735,Ensconsin,Map7,,,Yes,,,,
O88736,3-keto-steroid reductase,Hsd17b7,Enzyme,,Yes,Yes,Yes,4.231,-1.348
O88738,Baculoviral IAP repeat-containing protein 6,Birc6,Enzyme,Nucleus,Yes,Yes,Yes,4.491,-0.672
O88746,Target of Myb protein 1,Tom1,Transporter,,Yes,Yes,Yes,3.379,0.242
O88792,Junctional adhesion molecule A,F11r,,,Yes,,,,
O88796,Ribonuclease P protein subunit p30,Rpp30,Enzyme,Nucleus,Yes,,,,
O88799,Zonadhesin,Zan,,,Yes,Yes,Yes,1.475,0.161
O88811,Signal transducing adapter molecule 2,Stam2,,,Yes,,,,
O88843,Death domain-containing protein CRADD,Cradd,,Nucleus,Yes,,,,
O88844,Isocitrate dehydrogenase [NADP] cytoplasmic,Idh1,Enzyme,,Yes,Yes,Yes,3.255,0.325
O88848,ADP-ribosylation factor-like protein 6,Arl6,Transporter,Axoneme,Yes,Yes,Yes,2.022,-0.174
O88851,Putative hydrolase RBBP9,Rbbp9,,,Yes,Yes,Yes,0.789,-0.202
O88856,Protein-tyrosine sulfotransferase 2,Tpst2,Enzyme,,Yes,,,,
O88870,Bestrophin-1,Best1,Ion channel,,Yes,Yes,Yes,3.461,0.597
O88874,Cyclin-K,Ccnk,Kinase,Nucleus,Yes,,,,
O88888,Amyloid-beta A4 precursor protein-binding family A member 3,Apba3,Transporter,,Yes,,,,
O88895,Histone deacetylase 3,Hdac3,Transcription regulator,Nucleus,Yes,,,,
O88898,Tumor protein 63,Tp63,Transcription regulator,Nucleus,Yes,,,,
O88904,Homeodomain-interacting protein kinase 1,Hipk1,Kinase,Nucleus,Yes,,,,
O88907,E3 SUMO-protein ligase PIAS1,Pias1,Transcription regulator,Nucleus,Yes,,,,
O88939,Zinc finger and BTB domain-containing protein 7A,Zbtb7a,Transcription regulator,Nucleus,Yes,,,,
O88952,Protein lin-7 homolog C,Lin7c,,,Yes,,,,
O88958,Glucosamine-6-phosphate isomerase 1,Gnpda1,Enzyme,,Yes,Yes,Yes,2.08,0.178
O88967,ATP-dependent zinc metalloprotease YME1L1,Yme1l1,Peptidase,Mitochondria,Yes,,,,
O88968,Transcobalamin-2,Tcn2,Transporter,,Yes,,,,
O88983,Syntaxin-8,Stx8,,,Yes,Yes,Yes,2.5,-1.829
O88986,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",Gcat,Enzyme,Nucleus; Mitochondria,Yes,Yes,Yes,1.362,-1.399
O88987,A-kinase anchor protein 3,Akap3,,Acrosome; Mid-piece,Yes,Yes,Yes,1.546,0.145
O89001,Carboxypeptidase D,Cpd,Peptidase,Nucleus,Yes,Yes,Yes,4.39,-1.447
O89017,Legumain,Lgmn,Peptidase,,Yes,,,,
O89023,Tripeptidyl-peptidase 1,Tpp1,Peptidase,,Yes,,,,
O89050,Muskelin,Mkln1,,Nucleus,Yes,,,,
O89051,Integral membrane protein 2B,Itm2b,,,Yes,Yes,Yes,3.979,-1.591
O89053,Coronin-1A,Coro1a,,,Yes,,,,
O89079,Coatomer subunit epsilon,Cope,Transporter,,Yes,Yes,Yes,4.761,-1.778
O89086,RNA-binding protein 3,Rbm3,,Nucleus,Yes,,,,
O89090,Transcription factor Sp1,Sp1,Transcription regulator,Nucleus,Yes,,,,
O89106,Bis(5'-adenosyl)-triphosphatase,Fhit,Enzyme,Nucleus,Yes,Yes,Yes,0.524,-0.62
